record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,817.80,,,,817.80,Collecting baseline... RawAvg=817.80
baseline,817.20,,,,817.20,Collecting baseline... RawAvg=817.20
baseline,817.00,,,,817.00,Collecting baseline... RawAvg=817.00
baseline,817.00,,,,817.00,Collecting baseline... RawAvg=817.00
baseline,817.20,,,,817.20,Collecting baseline... RawAvg=817.20
baseline,817.40,,,,817.40,Collecting baseline... RawAvg=817.40
baseline,817.60,,,,817.60,Collecting baseline... RawAvg=817.60
baseline,817.60,,,,817.60,Collecting baseline... RawAvg=817.60
baseline,817.20,,,,817.20,Collecting baseline... RawAvg=817.20
baseline,816.60,,,,816.60,Collecting baseline... RawAvg=816.60
baseline,816.20,,,,816.20,Collecting baseline... RawAvg=816.20
baseline,816.20,,,,816.20,Collecting baseline... RawAvg=816.20
baseline,816.20,,,,816.20,Collecting baseline... RawAvg=816.20
baseline,816.60,,,,816.60,Collecting baseline... RawAvg=816.60
baseline,817.00,,,,817.00,Collecting baseline... RawAvg=817.00
baseline,817.20,,,,817.20,Collecting baseline... RawAvg=817.20
baseline,817.00,,,,817.00,Collecting baseline... RawAvg=817.00
baseline,816.80,,,,816.80,Collecting baseline... RawAvg=816.80
baseline,816.40,,,,816.40,Collecting baseline... RawAvg=816.40
baseline,816.20,,,,816.20,Collecting baseline... RawAvg=816.20
baseline,816.20,,,,816.20,Collecting baseline... RawAvg=816.20
baseline,816.60,,,,816.60,Collecting baseline... RawAvg=816.60
baseline,816.80,,,,816.80,Collecting baseline... RawAvg=816.80
baseline,817.00,,,,817.00,Collecting baseline... RawAvg=817.00
baseline,817.40,,,,817.40,Collecting baseline... RawAvg=817.40
baseline,817.40,,,,817.40,Collecting baseline... RawAvg=817.40
baseline,817.00,,,,817.00,Collecting baseline... RawAvg=817.00
baseline,817.00,,,,817.00,Collecting baseline... RawAvg=817.00
baseline,817.00,,,,817.00,Collecting baseline... RawAvg=817.00
baseline,816.80,,,,816.80,Collecting baseline... RawAvg=816.80
baseline,817.00,,,,817.00,Collecting baseline... RawAvg=817.00
baseline,817.40,,,,817.40,Collecting baseline... RawAvg=817.40
baseline,817.60,,,,817.60,Collecting baseline... RawAvg=817.60
baseline,817.40,,,,817.40,Collecting baseline... RawAvg=817.40
baseline,817.20,,,,817.20,Collecting baseline... RawAvg=817.20
baseline,816.80,,,,816.80,Collecting baseline... RawAvg=816.80
baseline,816.40,,,,816.40,Collecting baseline... RawAvg=816.40
baseline,816.20,,,,816.20,Collecting baseline... RawAvg=816.20
baseline,816.60,,,,816.60,Collecting baseline... RawAvg=816.60
baseline,817.00,,,,817.00,Collecting baseline... RawAvg=817.00
baseline,817.40,,,,817.40,Collecting baseline... RawAvg=817.40
baseline,817.60,,,,817.60,Collecting baseline... RawAvg=817.60
baseline,817.40,,,,817.40,Collecting baseline... RawAvg=817.40
baseline,817.00,,,,817.00,Collecting baseline... RawAvg=817.00
baseline,816.60,,,,816.60,Collecting baseline... RawAvg=816.60
baseline,816.40,,,,816.40,Collecting baseline... RawAvg=816.40
baseline,816.40,,,,816.40,Collecting baseline... RawAvg=816.40
baseline,816.80,,,,816.80,Collecting baseline... RawAvg=816.80
baseline,817.20,,,,817.20,Collecting baseline... RawAvg=817.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,816.94,,,816.94,Final Base Raw Average = 816.94
info,,,,,,--------------------------------------------------------------------------
data,,816.9,817.6,0.7,817.6,Time=0.1s | BaseRaw=816.9 | CurrentRaw=817.6 | Change=0.7 => Floor
data,,816.9,817.4,0.5,817.4,Time=0.2s | BaseRaw=816.9 | CurrentRaw=817.4 | Change=0.5 => Floor
data,,816.9,817.4,0.5,817.4,Time=0.3s | BaseRaw=816.9 | CurrentRaw=817.4 | Change=0.5 => Floor
data,,816.9,817.2,0.3,817.2,Time=0.4s | BaseRaw=816.9 | CurrentRaw=817.2 | Change=0.3 => Floor
data,,816.9,817.2,0.3,817.2,Time=0.5s | BaseRaw=816.9 | CurrentRaw=817.2 | Change=0.3 => Floor
data,,816.9,817.0,0.1,817.0,Time=0.6s | BaseRaw=816.9 | CurrentRaw=817.0 | Change=0.1 => Floor
data,,816.9,817.0,0.1,817.0,Time=0.7s | BaseRaw=816.9 | CurrentRaw=817.0 | Change=0.1 => Floor
data,,816.9,817.0,0.1,817.0,Time=0.8s | BaseRaw=816.9 | CurrentRaw=817.0 | Change=0.1 => Floor
data,,816.9,816.8,0.1,816.8,Time=0.9s | BaseRaw=816.9 | CurrentRaw=816.8 | Change=0.1 => Floor
data,,816.9,817.2,0.3,817.2,Time=1.0s | BaseRaw=816.9 | CurrentRaw=817.2 | Change=0.3 => Floor
data,,816.9,817.0,0.1,817.0,Time=1.1s | BaseRaw=816.9 | CurrentRaw=817.0 | Change=0.1 => Floor
data,,816.9,817.2,0.3,817.2,Time=1.2s | BaseRaw=816.9 | CurrentRaw=817.2 | Change=0.3 => Floor
data,,816.9,817.2,0.3,817.2,Time=1.3s | BaseRaw=816.9 | CurrentRaw=817.2 | Change=0.3 => Floor
data,,816.9,817.2,0.3,817.2,Time=1.4s | BaseRaw=816.9 | CurrentRaw=817.2 | Change=0.3 => Floor
data,,816.9,817.0,0.1,817.0,Time=1.5s | BaseRaw=816.9 | CurrentRaw=817.0 | Change=0.1 => Floor
data,,816.9,817.2,0.3,817.2,Time=1.6s | BaseRaw=816.9 | CurrentRaw=817.2 | Change=0.3 => Floor
data,,816.9,817.2,0.3,817.2,Time=1.7s | BaseRaw=816.9 | CurrentRaw=817.2 | Change=0.3 => Floor
data,,816.9,817.2,0.3,817.2,Time=1.8s | BaseRaw=816.9 | CurrentRaw=817.2 | Change=0.3 => Floor
data,,816.9,817.2,0.3,817.2,Time=1.9s | BaseRaw=816.9 | CurrentRaw=817.2 | Change=0.3 => Floor
data,,816.9,817.4,0.5,817.4,Time=2.0s | BaseRaw=816.9 | CurrentRaw=817.4 | Change=0.5 => Floor
data,,816.9,817.0,0.1,817.0,Time=2.1s | BaseRaw=816.9 | CurrentRaw=817.0 | Change=0.1 => Floor
data,,816.9,817.2,0.3,817.2,Time=2.2s | BaseRaw=816.9 | CurrentRaw=817.2 | Change=0.3 => Floor
data,,816.9,816.8,0.1,816.8,Time=2.3s | BaseRaw=816.9 | CurrentRaw=816.8 | Change=0.1 => Floor
data,,816.9,816.8,0.1,816.8,Time=2.4s | BaseRaw=816.9 | CurrentRaw=816.8 | Change=0.1 => Floor
data,,816.9,816.6,0.3,816.6,Time=2.5s | BaseRaw=816.9 | CurrentRaw=816.6 | Change=0.3 => Floor
data,,816.9,816.8,0.1,816.8,Time=2.6s | BaseRaw=816.9 | CurrentRaw=816.8 | Change=0.1 => Floor
data,,816.9,816.8,0.1,816.8,Time=2.7s | BaseRaw=816.9 | CurrentRaw=816.8 | Change=0.1 => Floor
data,,816.9,816.8,0.1,816.8,Time=2.8s | BaseRaw=816.9 | CurrentRaw=816.8 | Change=0.1 => Floor
data,,816.9,817.0,0.1,817.0,Time=2.9s | BaseRaw=816.9 | CurrentRaw=817.0 | Change=0.1 => Floor
data,,816.9,816.8,0.1,816.8,Time=3.0s | BaseRaw=816.9 | CurrentRaw=816.8 | Change=0.1 => Floor
data,,816.9,816.8,0.1,816.8,Time=3.1s | BaseRaw=816.9 | CurrentRaw=816.8 | Change=0.1 => Floor
data,,816.9,816.8,0.1,816.8,Time=3.2s | BaseRaw=816.9 | CurrentRaw=816.8 | Change=0.1 => Floor
data,,816.9,817.0,0.1,817.0,Time=3.3s | BaseRaw=816.9 | CurrentRaw=817.0 | Change=0.1 => Floor
data,,816.9,817.2,0.3,817.2,Time=3.4s | BaseRaw=816.9 | CurrentRaw=817.2 | Change=0.3 => Floor
data,,816.9,817.0,0.1,817.0,Time=3.5s | BaseRaw=816.9 | CurrentRaw=817.0 | Change=0.1 => Floor
data,,816.9,817.2,0.3,817.2,Time=3.6s | BaseRaw=816.9 | CurrentRaw=817.2 | Change=0.3 => Floor
data,,816.9,817.0,0.1,817.0,Time=3.7s | BaseRaw=816.9 | CurrentRaw=817.0 | Change=0.1 => Floor
data,,816.9,816.8,0.1,816.8,Time=3.8s | BaseRaw=816.9 | CurrentRaw=816.8 | Change=0.1 => Floor
data,,816.9,816.8,0.1,816.8,Time=3.9s | BaseRaw=816.9 | CurrentRaw=816.8 | Change=0.1 => Floor
data,,816.9,816.6,0.3,816.6,Time=4.0s | BaseRaw=816.9 | CurrentRaw=816.6 | Change=0.3 => Floor
data,,816.9,816.6,0.3,816.6,Time=4.1s | BaseRaw=816.9 | CurrentRaw=816.6 | Change=0.3 => Floor
data,,816.9,816.6,0.3,816.6,Time=4.2s | BaseRaw=816.9 | CurrentRaw=816.6 | Change=0.3 => Floor
data,,816.9,816.4,0.5,816.4,Time=4.3s | BaseRaw=816.9 | CurrentRaw=816.4 | Change=0.5 => Floor
data,,816.9,816.2,0.7,816.2,Time=4.4s | BaseRaw=816.9 | CurrentRaw=816.2 | Change=0.7 => Floor
data,,816.9,816.2,0.7,816.2,Time=4.5s | BaseRaw=816.9 | CurrentRaw=816.2 | Change=0.7 => Floor
data,,816.9,816.4,0.5,816.4,Time=4.6s | BaseRaw=816.9 | CurrentRaw=816.4 | Change=0.5 => Floor
data,,816.9,816.4,0.5,816.4,Time=4.7s | BaseRaw=816.9 | CurrentRaw=816.4 | Change=0.5 => Floor
data,,816.9,817.2,0.3,817.2,Time=4.8s | BaseRaw=816.9 | CurrentRaw=817.2 | Change=0.3 => Floor
data,,816.9,818.0,1.1,818.0,Time=4.9s | BaseRaw=816.9 | CurrentRaw=818.0 | Change=1.1 => Floor
data,,816.9,819.0,2.1,819.0,Time=5.0s | BaseRaw=816.9 | CurrentRaw=819.0 | Change=2.1 => Floor
data,,816.9,820.0,3.1,820.0,Time=5.1s | BaseRaw=816.9 | CurrentRaw=820.0 | Change=3.1 => Floor
data,,816.9,821.0,4.1,821.0,Time=5.2s | BaseRaw=816.9 | CurrentRaw=821.0 | Change=4.1 => Floor
data,,816.9,821.8,4.9,821.8,Time=5.3s | BaseRaw=816.9 | CurrentRaw=821.8 | Change=4.9 => Floor
data,,816.9,821.8,4.9,821.8,Time=5.4s | BaseRaw=816.9 | CurrentRaw=821.8 | Change=4.9 => Floor
data,,816.9,820.8,3.9,820.8,Time=5.5s | BaseRaw=816.9 | CurrentRaw=820.8 | Change=3.9 => Floor
data,,816.9,817.8,0.9,817.8,Time=5.6s | BaseRaw=816.9 | CurrentRaw=817.8 | Change=0.9 => Floor
data,,816.9,811.8,5.1,811.8,Time=5.7s | BaseRaw=816.9 | CurrentRaw=811.8 | Change=5.1 => Floor
data,,816.9,800.0,16.9,800.0,Time=5.8s | BaseRaw=816.9 | CurrentRaw=800.0 | Change=16.9 => Liquid
data,,816.9,784.6,32.3,784.6,Time=5.9s | BaseRaw=816.9 | CurrentRaw=784.6 | Change=32.3 => Liquid
data,,816.9,768.4,48.5,768.4,Time=6.0s | BaseRaw=816.9 | CurrentRaw=768.4 | Change=48.5 => Liquid
data,,816.9,752.4,64.5,752.4,Time=6.1s | BaseRaw=816.9 | CurrentRaw=752.4 | Change=64.5 => Liquid
data,,816.9,739.0,77.9,739.0,Time=6.2s | BaseRaw=816.9 | CurrentRaw=739.0 | Change=77.9 => Liquid
data,,816.9,731.6,85.3,731.6,Time=6.3s | BaseRaw=816.9 | CurrentRaw=731.6 | Change=85.3 => Liquid
data,,816.9,728.2,88.7,728.2,Time=6.4s | BaseRaw=816.9 | CurrentRaw=728.2 | Change=88.7 => Liquid
data,,816.9,726.0,90.9,726.0,Time=6.5s | BaseRaw=816.9 | CurrentRaw=726.0 | Change=90.9 => Liquid
